university,discipline,seminar_name,seminar_link
Indiana University Bloomington,Physics,High-Energy Physics/Astrophysics Seminar,https://physics.indiana.edu/news-events/events/hep-seminars.html
Iowa State University,Physics,Colloquium,https://www.physastro.iastate.edu/events/colloquium
Johns Hopkins University,Physics,Department-wide Colloquium,https://physics-astronomy.jhu.edu/series/department-wide-colloquium/
Johns Hopkins University,Physics,Experimental Particle Physics Seminar Series,https://physics-astronomy.jhu.edu/series/experimental-particle-physics-seminar-series/
Johns Hopkins University,Physics,Condensed Matter and Biological Physics Seminar Series,https://physics-astronomy.jhu.edu/series/condensed-matter-and-biological-physics-seminar-series/
Johns Hopkins University,Physics,AstroCoffee Seminars,https://docs.google.com/spreadsheets/d/1AxfpsdVNtiubduc9sUBoqO3Yg86TU6bOxM_ASjgvrcE/edit#gid=1150343179
Johns Hopkins University,Physics,JHU/STScI CAS Wine & Cheese Seminars,https://caswiki.johnshopkins.edu/index.php/CAS_Wine_and_Cheese_Seminars
Johns Hopkins University,Physics,Experimental Particle Physics Seminars,https://physics-astronomy.jhu.edu/series/experimental-particle-physics-seminar-series/
Johns Hopkins University,Physics,Theoretical Particle Physics Seminars,https://physics-astronomy.jhu.edu/series/particle-physics-theory-seminar-series/
Johns Hopkins University,Physics,JHU - UMD Joint Particle Physics Seminars,https://physics-astronomy.jhu.edu/series/theoretical-and-experimental-particle-physics-seminar-series/
Kansas State University,Physics,Colloquium,https://www.phys.ksu.edu/about/events/colloquia/
Kansas State University,Physics,AMO Seminars,https://jrm.phys.ksu.edu/Seminars/seminar.asp
Kansas State University,Physics,"Condensed, Soft, and Biological Matter Seminars",https://www.phys.ksu.edu/about/events/cms-seminar/
Kent State University,Physics,Physics Colloquium,https://www.kent.edu/physics/physics-colloquium-fall-2023
Kent State University,Physics,Center for Nucleic Research Seminar (CNR),https://sites.google.com/view/cnrseminar/home?authuser=0
Louisiana State University,Physics,Physics & Astronomy Colloquium,https://www.lsu.edu/physics/colloquia-seminars/fall_2023.php
Massachusetts Institute of Technology,Physics,David & Edith Harris Physics Colloquium Series,https://physics.mit.edu/events/david-and-edith-harris-physics-colloquium-series/
Massachusetts Institute of Technology,Physics,Nuclear and Particle Theory Seminar,https://physics.mit.edu/research/labs-centers/center-for-theoretical-physics/nuclear-and-particle-theory-seminar/
Massachusetts Institute of Technology,Physics,Nuclear and Particle Physics Colloquium,https://web.mit.edu/lns/news/nppc.html
Massachusetts Institute of Technology,Physics,String/Gravity Theory Seminar,https://physics.mit.edu/research/labs-centers/center-for-theoretical-physics/ctp-seminars/string-gravity-theory-seminar/
Massachusetts Institute of Technology,Physics,Lunchtime Seminars,https://web.mit.edu/lns/news/lunchtime.html
Massachusetts Institute of Technology,Physics,Chez Pierre Seminar Series,https://physics.mit.edu/events/chez-pierre-seminar-series/
Michigan State University,Physics,Colloquium,https://pa.msu.edu/news-events-seminars/colloquium-schedule.aspx
Michigan State University,Physics,Condensed Matter Physics Seminars,https://pa.msu.edu/news-events-seminars/cmp-seminar-schedule.aspx
Michigan State University,Physics,High Energy Physics Seminar,https://pa.msu.edu/news-events-seminars/hep-seminar-schedule.aspx
Mississippi State University,Physics,Colloquium,https://le334.physics.msstate.edu/Colloquium.html
Montana State University,Physics,Physics Colloquium,https://physics.montana.edu/news/collosched.html
New Jersey Institute of Technology,Physics,Department Seminar,https://web.njit.edu/~kenahn/seminar.html
New Jersey Institute of Technology,Physics,Colloquium,#N/A
New York University,Physics,Physics Colloquiua,https://physics.nyu.edu/events.html?EventsPage=colloquia
New York University,Physics,Soft Condensed Matter Seminars,https://physics.nyu.edu/events.html?EventsPage=csmr
New York University,Physics,CCPP Seminar,https://physics.nyu.edu/events.html?EventsPage=ccpp
New York University,Physics,Center for Quantum Phenomena Seminars,https://physics.nyu.edu/events.html?EventsPage=cqp
New York University,Physics,High Energy Physics Seminar,https://physics.nyu.edu/events.html?EventsPage=hep
New York University,Physics,Center for Quantum Information Physics Seminar,https://physics.nyu.edu/events.html?EventsPage=cqip
New York University,Physics,Astrophysics and Relativity Seminars,https://physics.nyu.edu/events.html?EventsPage=astro
North Carolina State University,Physics,Physics Colloquium,https://physics.sciences.ncsu.edu/events/category/colloquia/
North Carolina State University,Physics,CMB Seminar,https://physics.sciences.ncsu.edu/events/category/cmb-seminar/list/?eventDisplay=past
North Dakota State University,Physics,Seminars,https://www.ndsu.edu/physics/news_and_events/seminars_and_colloquia/
Northeastern University,Physics,Physics Colloquium,https://cos.northeastern.edu/events/physics-colloquium-prof-jeff-gore-mit/
Northeastern University,Physics,Physics Seminar,https://cos.northeastern.edu/events/physics-seminar-dr-sagar-vidya-addepalli-brandeis-university/
Northeastern University,Physics,Quantum Matter Seminar,https://cos.northeastern.edu/events/quantum-matter-seminar-peter-meisenheimer-uc-berkeley/
Ohio State University,Physics,Colloquia,https://physics.osu.edu/colloquium-archive
Ohio State University,Physics,"Atomic, Molecular and Optical Seminar",https://physics.osu.edu/amo-seminar
Ohio State University,Physics,Biophysics Seminar,https://www.asc.ohio-state.edu/physics/bio/seminar.html?_gl=1*7eezbk*_ga*NTI1NzA4NDU1LjE3MTYzMDYzNzI.*_ga_09WC99HMPE*MTcxNjMwNjM3Mi4xLjEuMTcxNjMwNzM4My4wLjAuMA..
Ohio State University,Physics,Center for Cosmology and AstropParticle Physics,https://ccapp.osu.edu/events/current-seminars
Ohio State University,Physics,Condensed Matter Experiment/Quantum Matter Seminar,https://physics.osu.edu/cme-seminar
Ohio State University,Physics,Exploration of Novel Complex Materials,https://u.osu.edu/encomm/
Ohio State University,Physics,High Energy Physics Seminar,https://physics.osu.edu/high-energy-physics-seminar
Ohio State University,Physics,Quantam Matter/Condensed Matter Seminar,https://physics.osu.edu/Quantum-Matter-Seminars
Ohio State University,Physics,Nuclear Physics,https://physics.osu.edu/nuclear-physics-seminar
Ohio State University,Physics,Optical Science Seminar,https://opticalscience.osu.edu/events/seminars
Ohio University,Physics,Physics Colloquia,https://www.ohio.edu/cas/physics-astronomy/news-events/colloquium-series
Ohio University,Physics,Nanoscale Quantum Phenomena Institute Seminar,https://www.ohio.edu/cas/nqpi/news/events
Oklahoma State University–Stillwater,Physics,Physics Colloquium,https://cas.okstate.edu/cas_events/
Old Dominion University,Physics,Physics Colloquia,https://www.odu.edu/physics/calendar/csc
Old Dominion University,Physics,Nuclear Physics Seminar,https://ww2.odu.edu/~skuhn/NucPhySeminar.html
Oregon State University,Physics,Physics Colloquia,https://physics.oregonstate.edu/physics-news-events/colloquia
Oregon State University,Physics,Solid State Seminar,https://physics.oregonstate.edu/physics-news-events/seminars
Pennsylvania State University,Physics,Physics Colloquia,https://science.psu.edu/events?search=&date%5Bmin%5D=2023-08-04&date%5Bmax%5D=2023-12-22&department=16&type=All
Pennsylvania State University,Physics,Condensed Atomic Molecula Physics Seminar,https://science.psu.edu/events?search=&date%5Bmin%5D=2023-08-04&date%5Bmax%5D=2023-12-22&department=16&type=62
Princeton University,Physics,Donald Ross Hamilton Colloquia,https://phy.princeton.edu/events/donald-r-hamilton-colloquium-series/past-hamilton-lecture-speakers
Princeton University,Physics,Princeton Quantum Colloquium,https://quantum.princeton.edu/events/quantum-colloquium
Princeton University,Physics,Condensed Matter Seminar,https://quantum.princeton.edu/events/archive
Purdue University,Physics,Physics Colloquium,https://www.physics.purdue.edu/events/colloq/archive.html
Purdue University,Physics,Astrophysics Seminars,https://www.physics.purdue.edu/events/astro-physics/archive.html
Purdue University,Physics,Biophysical Seminars,https://www.physics.purdue.edu/events/biophys_seminar/archive.html
Purdue University,Physics,Condensed Matter Seminar,https://www.physics.purdue.edu/events/condensed-matter-seminars/archive.html
Purdue University,Physics,Nuclear Physics Seminar,https://www.physics.purdue.edu/events/nuclear-physics-seminar/archive.html
Purdue University,Physics,Physics Education Research Seminar,https://www.physics.purdue.edu/events/physics-education/archive.html
Purdue University,Physics,"Atomic, Molecular, Optical Seminars",https://www.physics.purdue.edu/events/atomic-molecular-optical/archive.html
Rensselaer Polytechnic Institute,Physics,"Physics, Applied Physics and Astronomy Colloquia",https://science.rpi.edu/physics-applied-physics-astronomy/events/physics-applied-physics-and-astronomy-colloquia
Rice University,Physics,Physics and Astronomy Colloquium,https://events.rice.edu/month/groups/Physics%20%26%20Astronomy
Rutgers University–New Brunswick,Physics,Physics and Astronomy Colloquium,https://physics.rutgers.edu/events/colloquium?view=article&id=2582:colloquim-fall-2023&catid=13:events
Rutgers University–New Brunswick,Physics,Astrophysics Seminar,https://physics.rutgers.edu/astrophysics-physics-seminar-spring-2024?view=article&id=2573:astro-physics-seminar-f2023&catid=13:events
Rutgers University–New Brunswick,Physics,Condensed Matter Seminar,https://physics.rutgers.edu/events/seminars?view=article&id=2639
Rutgers University–New Brunswick,Physics,Center for Quantitative Biology,https://cqb.rutgers.edu/news-events/past-events
Rutgers University–New Brunswick,Physics,Developing Educators and Leaders Among TAs in Physics,[NO LINK FOUND]
Rutgers University–New Brunswick,Physics,Equity and Inclusion Journal Club,https://www.physics.rutgers.edu/rumipa/eijc.html
Rutgers University–New Brunswick,Physics,Geometry & Physics Seminar,[NO LINK FOUND]
Rutgers University–New Brunswick,Physics,High Energy Theory Seminar,https://physics.rutgers.edu/research/research-group-high-energy-theory/het-physics-seminar-f2023
Rutgers University–New Brunswick,Physics,High Energy Experimental Seminar,https://physics.rutgers.edu/events/seminars?view=article&id=2605:hex-seminar-fall-2023&catid=13:events
Rutgers University–New Brunswick,Physics,Honors Seminar,[NO LINK FOUND]
Rutgers University–New Brunswick,Physics,Institute for Quantitative Biomedicine,https://iqb.rutgers.edu/seminars
Rutgers University–New Brunswick,Physics,Machine Learning Group Meeting,http://www.physics.rutgers.edu/seminars/MLG
Rutgers University–New Brunswick,Physics,Mathematical Physics Seminar,https://cmsr.rutgers.edu/news-events-cmsr/mathematical-physics-webinar/range.listevents/-
Rutgers University–New Brunswick,Physics,Nuclear Physics Seminar,https://physics.rutgers.edu/events/seminars?view=article&id=2563:nuclear-physics-seminar-f2023&catid=13:events
Rutgers University–New Brunswick,Physics,Physics and Astronomy Education Research,[NO LINK FOUND]
Rutgers University–New Brunswick,Physics,Physical Chemistry Seminar,https://remsinglab.com/pchemseminars
Rutgers University–New Brunswick,Physics,Seminar in Physics,http://www.physics.rutgers.edu/grad/634
Rutgers University–New Brunswick,Physics,CMT Symposium,https://sites.rutgers.edu/cmt-symposium-23/schedule/
Stanford University,Physics,Applied Physics/Physics Colloquium,https://physics.stanford.edu/news-events/past-events
Stony Brook University,Physics,Physics and Astronomy Colloquium,https://www.stonybrook.edu/commcms/physics/events/colloquium.php?accordion=content-d19e300
Stony Brook University,Physics,Worlds of Physics,http://chi.physics.sunysb.edu/wop/
Stony Brook University,Physics,Astronomy Open Nights,https://www.astro.sunysb.edu/opennight/
Stony Brook University,Physics,Astronomy and Astrophysics Seminar,https://www.astro.sunysb.edu/astro/seminars_share.html
Stony Brook University,Physics,YITP Seminar,http://insti.physics.sunysb.edu/itp/www/calendar
Stony Brook University,Physics,High Energy Physics Seminar,https://calendar.google.com/calendar/u/0/embed?mode=AGENDA&height=600&wkst=1&bgcolor=%23FFFFFF&src=stonybrook.edu_s9339gnrqm2e7i313qf8o9r9qs@group.calendar.google.com&color=%23711616&ctz=America/New_York
Stony Brook University,Physics,Joint SBU/BNL Cosmology Seminar,https://www.stonybrook.edu/commcms/physics/events/seminars
Stony Brook University,Physics,CFNS Seminar,https://www.stonybrook.edu/cfns/activities/seminars.php
Stony Brook University,Physics,Nuclear Theory Seminar,https://sites.google.com/a/stonybrook.edu/nuclear_theory_seminars/
Stony Brook University,Physics,Condensed Matter Physics Seminar,https://www.stonybrook.edu/commcms/physics/research/cm/index
Stony Brook University,Physics,"Atomic, Molecular and Optical Physics Seminar",http://ultracold.physics.sunysb.edu/AMO/seminars/
Stony Brook University,Physics,Center for Accelerator Science and Education,http://case.physics.sunysb.edu/index.php/Main_Page
Stony Brook University,Physics,Simons Center for Geometry and Physics Colloquium,https://scgp.stonybrook.edu/this-week
Syracuse University,Physics,Physics Colloquia,https://artsandsciences.syracuse.edu/physics/physics-events/physics-colloquia/
Syracuse University,Physics,Soft Matter and Biological Physics Seminar,https://artsandsciences.syracuse.edu/physics/physics-events/soft-matter-and-biological-physics-seminar-series/
Syracuse University,Physics,Gravitational Waves Seminar,https://artsandsciences.syracuse.edu/physics/physics-events/gravitational-waves-seminar-series/
Syracuse University,Physics,Quantum Information Science and Engineering Seminar,https://calendar.syracuse.edu/events/?view=past&page=1&organizer=10373
Temple University,Physics,Physics Department Colloquium,https://phys.cst.temple.edu/colloquium.html
Temple University,Physics,Seminars,https://phys.cst.temple.edu/seminars.html
Texas A&M University,Physics,Colloquium,https://physics.tamu.edu/events/colloquium-22/
Texas Tech University,Physics,Colloquia,https://www.depts.ttu.edu/phas/News_and_Events/Colloquia/coll_fall_2023.php
Tufts University,Physics,Colloquium,https://as.tufts.edu/physics/news-events/events/events-calendar
Tufts University,Physics,Astronomy Seminar,https://sites.tufts.edu/astroevents/astro-seminars/
Tufts University,Physics,Condensed Matter Seminar,https://as.tufts.edu/physics/news-events/seminars/condensed-matter-seminar
Tufts University,Physics,High Energy Physics Seminar,https://as.tufts.edu/physics/news-events/seminars/high-energy-physics-seminar
Tufts University,Physics,Joint Tufts/MIT Cosmology Seminar,https://cosmos.phy.tufts.edu/joint-seminar/Fall-2023/
Tulane University,Physics,Physics and Engineering Physics Seminars,https://sse.tulane.edu/pep/seminars
"University at Albany, SUNY",Physics,Physics Seminars,https://www.albany.edu/physics/colloquia-and-seminars
"University at Albany, SUNY",Physics,Physics Colloquia,https://www.albany.edu/physics/colloquia-and-seminars
University at Buffalo,Physics,Physics Colloquium,https://arts-sciences.buffalo.edu/physics/news-events/upcoming-events/colloquium-seminar-series.html
University at Buffalo,Physics,Physics Seminars,https://arts-sciences.buffalo.edu/physics/news-events/upcoming-events/colloquium-seminar-series.html
University of Alabama,Physics,Colloquia,https://physics.ua.edu/colloquium/
University of Alabama in Huntsville,Physics,Seminars,https://www.uah.edu/science/departments/physics/seminars
University of Arizona,Physics,Physics Colloquium,https://w3.physics.arizona.edu/events
University of Arizona,Physics,TAP Colloquium,https://w3.physics.arizona.edu/events
University of Arizona,Physics,LPL Colloquium,https://w3.physics.arizona.edu/events
University of Arizona,Physics,Steward Observatory/NSF NOIRLab Joint Colloquium Series,https://w3.physics.arizona.edu/events
University of Arizona,Physics,Mathematical Physics and Probability Seminar,https://w3.physics.arizona.edu/events
University of Arkansas,Physics,Colloquia,https://physics.uark.edu/about-the-department/news-and-events/colloquia-and-events-calendar.php
University of Arkansas,Physics,Robert D. Maurer Distinguished Lecture Series,https://physics.uark.edu/about-the-department/news-and-events/maurer-lecture-series/index.php
"University of California, Berkeley",Physics,Physics Colloquium,https://events.berkeley.edu/physics/month/date/20230801
"University of California, Berkeley",Physics,Physics Condensed Matter Seminar,https://events.berkeley.edu/physics/month/date/20230801
"University of California, Berkeley",Physics,Nano Seminar Series,https://events.berkeley.edu/physics/month/date/20230801
"University of California, Davis",Physics,Physics Colloquium,https://physics.ucdavis.edu/news-events/colloquia-and-seminars/colloquium
"University of California, Davis",Physics,Condensed Matter Seminar,https://physics.ucdavis.edu/news-events/colloquia-and-seminars/condensed-matter
"University of California, Davis",Physics,Cosmology Seminar,https://physics.ucdavis.edu/news-events/colloquia-and-seminars/cosmology
"University of California, Davis",Physics,Experimental Particle Physics Seminar,https://physics.ucdavis.edu/news-events/colloquia-and-seminars/experimental-particle-physics-seminar
"University of California, Davis",Physics,"Fields, Strings, Gravity Seminar",https://physics.ucdavis.edu/news-events/colloquia-and-seminars/fields-strings-gravity
"University of California, Davis",Physics,Nuclear Seminar,https://physics.ucdavis.edu/news-events/colloquia-and-seminars/nuclear
"University of California, Davis",Physics,QMAP Particles/Cosmology Seminar,https://physics.ucdavis.edu/news-events/colloquia-and-seminars/qmap-calendar
"University of California, Davis",Physics,Frederica Darema Lecture Series,https://daremalectures.physics.ucdavis.edu/speakers/
"University of California, Irvine",Physics,Physics Department Colloquium,https://www.physics.uci.edu/seminars?field_date_value%5Bvalue%5D%5Byear%5D=2023&field_date_value%5Bvalue%5D%5Bmonth%5D=8&field_date_value%5Bvalue%5D%5Bday%5D=1
"University of California, Irvine",Physics,Particle Physics Seminar,https://www.physics.uci.edu/seminars?field_date_value%5Bvalue%5D%5Byear%5D=2023&field_date_value%5Bvalue%5D%5Bmonth%5D=8&field_date_value%5Bvalue%5D%5Bday%5D=1
"University of California, Irvine",Physics,Astrophysics Seminar,https://www.physics.uci.edu/seminars?field_date_value%5Bvalue%5D%5Byear%5D=2023&field_date_value%5Bvalue%5D%5Bmonth%5D=8&field_date_value%5Bvalue%5D%5Bday%5D=1
"University of California, Irvine",Physics,Plasma Physics Seminar,https://www.physics.uci.edu/seminars?field_date_value%5Bvalue%5D%5Byear%5D=2023&field_date_value%5Bvalue%5D%5Bmonth%5D=8&field_date_value%5Bvalue%5D%5Bday%5D=1
"University of California, Irvine",Physics,Condensed Matter Seminar,https://www.physics.uci.edu/seminars?field_date_value%5Bvalue%5D%5Byear%5D=2023&field_date_value%5Bvalue%5D%5Bmonth%5D=8&field_date_value%5Bvalue%5D%5Bday%5D=1
"University of California, Irvine",Physics,Particle/Astro-Machine Learning Seminar,https://www.physics.uci.edu/seminars?field_date_value%5Bvalue%5D%5Byear%5D=2023&field_date_value%5Bvalue%5D%5Bmonth%5D=8&field_date_value%5Bvalue%5D%5Bday%5D=1
"University of California, Irvine",Physics,Plasma and Optics Seminar,https://www.physics.uci.edu/seminars?field_date_value%5Bvalue%5D%5Byear%5D=2023&field_date_value%5Bvalue%5D%5Bmonth%5D=8&field_date_value%5Bvalue%5D%5Bday%5D=1
"University of California, Los Angeles",Physics,Physics & Astronomy Colloquium,https://www.pa.ucla.edu/colloquium-archive/physics-and-astronomy-colloquium-2023-2024.php
"University of California, Los Angeles",Physics,Astrophysics Colloquium,https://astro.ucla.edu/astrophysics-colloquium-archived-talks.html
"University of California, Los Angeles",Physics,Bhaumik Lectures,https://bhaumik-institute.physics.ucla.edu/bhaumik-lectures
"University of California, Los Angeles",Physics,TEP Seminars,https://bhaumik-institute.physics.ucla.edu/seminars-and-colloquia
"University of California, Los Angeles",Physics,SCSS Seminars,https://bhaumik-institute.physics.ucla.edu/seminars-and-colloquia
"University of California, Los Angeles",Physics,BLYSS Seminars,https://bhaumik-institute.physics.ucla.edu/seminars-and-colloquia
"University of California, Los Angeles",Physics,HEAP Seminars,https://heapsem.pa.ucla.edu/
"University of California, Los Angeles",Physics,Nuclear Seminars,https://nuclear.physics.ucla.edu/content/seminars
"University of California, Los Angeles",Physics,Plasma Seminars,https://www.pa.ucla.edu/plasma-archive/plasma-physics-seminar-2022-2023.php
"University of California, Los Angeles",Physics,TEPAPP Seminars,https://tepapp.physics.ucla.edu/seminars.html
"University of California, Los Angeles",Physics,Center for Biological Physics Seminars,https://cbp.physics.ucla.edu/
"University of California, Los Angeles",Physics,Condensed Matter Physics Seminars,https://www.pa.ucla.edu/condensed-matter-seminars.php
"University of California, Riverside",Physics,Colloquium Series,https://www.physics.ucr.edu/colloquia-seminars
"University of California, Riverside",Physics,Astronomy Seminar,https://www.physics.ucr.edu/colloquia-seminars
"University of California, Riverside",Physics,Condensed Matter Seminar,https://www.physics.ucr.edu/colloquia-seminars
"University of California, Riverside",Physics,High Energy Physics Seminar,https://www.physics.ucr.edu/colloquia-seminars
"University of California, San Diego",Physics,Physics Colloquia,https://physics.ucsd.edu/events/seminars-colloquia
"University of California, San Diego",Physics,Physics Seminar,https://physics.ucsd.edu/events/seminars-colloquia
"University of California, Santa Barbara",Physics,Department Colloquium Series,https://www.physics.ucsb.edu/events/all?page=1
"University of California, Santa Barbara",Physics,Peale Lecture,https://www.physics.ucsb.edu/events/peale-lecture
"University of California, Santa Cruz",Physics,Colloquium,https://www.physics.ucsc.edu/news-events/colloquia/index.html
"University of California, Santa Cruz",Physics,Condensed Matter Seminar,https://www.physics.ucsc.edu/news-events/condensed/index.html
"University of California, Santa Cruz",Physics,Santa Cruz Institute for Particle Physics Seminar,https://www.physics.ucsc.edu/news-events/department-calendar/index.html
University of Central Florida,Physics,Colloquia,https://sciences.ucf.edu/physics/colloquia/
University of Chicago,Physics,Physics Colloquium,https://physics.uchicago.edu/events/colloquia-and-lectures/
University of Chicago,Physics,Zachariasen Memorial Lectures,https://physics.uchicago.edu/events/zachariasen-memorial-lectures/
University of Chicago,Physics,Maria Goeppert-Mayer Lectures,https://physics.uchicago.edu/events/maria-goeppert-mayer-lectures/
University of Colorado Boulder,Physics,Colloquium,https://www.colorado.edu/physics/events/seminars-and-colloquia/fall-2023-colloquium-schedule
University of Colorado Boulder,Physics,Condensed Matter Seminar,https://physicscourses.colorado.edu/seminars/cmpseminar/index.html
University of Colorado Boulder,Physics,Nuclear/Particle Physics Seminars,https://spot.colorado.edu/~kinneye/NuclearParticleSeminar.html
University of Connecticut,Physics,Condensed Matter Physics Seminar,https://events.uconn.edu/physics-department/month/date/20230901
University of Connecticut,Physics,Physics Colloquium,https://events.uconn.edu/physics-department/month/date/20230901
University of Connecticut,Physics,"Atomic, Molecular, and Optical Physics Seminar",https://events.uconn.edu/physics-department/month/date/20230901
