database_id,database_name,database_name_cleaned,database_university,database_discipline,database_race,database_gender,matched,speaker_id,speaker_name,speaker_university,speaker_race,speaker_gender,confidence,reasoning,candidates_checked,top_candidate_score
dee3c02a92343366,Carlos E. Manzanares,Carlos E Manzanares,Baylor University,Chemistry,Hispanic,Man,False,,,,,,,No match found among 1104 candidates checked,1104,65.0
d92ef0337e3d528f,Arturo Vegas,Arturo Vegas,Boston University,Chemistry,Hispanic,Man,False,,,,,,,No match found among 1104 candidates checked,1104,64.0
6c881a212530695f,Malika Jeffriesel,Malika Jeffriesel,Boston University,Chemistry,Black,Woman,True,24bb470094ab,Malika Jeffries-EL,Boston University,black,woman,high,"The name 'Malika Jeffries-EL' is a close match to 'Malika Jeffriesel', with a minor variation in the last name due to a possible hyphenation or transcription error. The university affiliation (Boston University) and discipline (Chemistry) are identical, supporting a high confidence match.",50,97.5
48fb5ff4e54c0e76,Rosina M. Georgiadis,Rosina M Georgiadis,Boston University,Chemistry,Hispanic,Woman,False,,,,,,,No match found among 1104 candidates checked,1104,56.0
1e15da9047ce6bd1,Gabriel Gomes,Gabriel Gomes,Carnegie Mellon University,Chemistry,Hispanic,Man,False,,,,,,,No match found among 1104 candidates checked,1104,75.0
fa968a95727f654d,Isaac Garcia Bosch,Isaac Garcia Bosch,Carnegie Mellon University,Chemistry,Hispanic,Man,True,7ccc3a4c7594,Isaac Garcia-Bosch,Carnegie Mellon University,latino,man,high,"The name 'Isaac Garcia-Bosch' is a direct match to 'Isaac Garcia Bosch' with only a minor variation in the hyphenation of the last name. The university, Carnegie Mellon University, is also the same, indicating a strong likelihood that this is the same person.",50,100.0
079473904d784cba,Carlos E. Crespo-Hernandez,Carlos E Crespo-Hernandez,Case Western Reserve University,Chemistry,Hispanic,Man,False,,,,,,,No match found among 1104 candidates checked,1104,67.0
f7e0d7fc4f99680f,Daniel A. Scherson,Daniel A Scherson,Case Western Reserve University,Chemistry,Hispanic,Man,False,,,,,,,No match found among 1104 candidates checked,1104,71.0
9b1bb1ec2cb86559,Carlos D. Garcia Perez,Carlos D Garcia Perez,Clemson University,Chemistry,Hispanic,Man,True,ad0c58fdbf43,Carlos Garcia,Clemson University,latino,man,high,"The speaker's name 'Carlos Garcia' closely matches the database name 'Carlos D Garcia Perez' with the same first name and part of the middle name. Both are affiliated with Clemson University, which strongly suggests they are the same person.",50,76.0
90ee05901a8f7b25,Ivan A. Moreno-Hernandez,Ivan A Moreno-Hernandez,Duke University,Chemistry,Hispanic,Man,True,78b25e573f03,Ivan A. Moreno-Hernandez,Duke University,latino,man,high,"Exact match of full name, university, and discipline.",50,100.0
90ee05901a8f7b25,Ivan A. Moreno-Hernandez,Ivan A Moreno-Hernandez,Duke University,Chemistry,Hispanic,Man,True,0af5efe846f2,Ivan Moreno-Hernandez,Duke University,latino,man,high,"Exact match of name (without middle initial), university, and discipline.",50,100.0
a1be3f33c7966f32,Francesco Evangelista,Francesco Evangelista,Emory University,Chemistry,Hispanic,Man,False,,,,,,,No match found among 1104 candidates checked,1104,73.0
0bac88fd186dfb54,Raphael F. Ribeiro,Raphael F Ribeiro,Emory University,Chemistry,Hispanic,Man,False,,,,,,,No match found among 1104 candidates checked,1104,61.0
